Cu1,Co1,Ni1,Zn1,Mg1,Sn1,Cu2,Co2,Ni2,Zn2,Mg2,Sn2,Cu3,Co3,Ni3,Zn3,Mg3,Sn3,Atomic vol. of adsorbate,Alpha value,1st_pauling,1st_valence,1st_dipole,2nd_pauling,2nd_valence,2nd_dipole,Atomic charge,HOMO-LUMO Gap,Offset,Adsorption energy
0,0,0,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,14,0.33,2.13,-4,65.9,0.295,9.5,43.24289,0.989,0.931,-3.12494,-3.680901853
0,0,0,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,14,0.33,2.13,-4,65.9,0.31,9,46.24289,0.989,0.931,-3.20362,-3.641444788
0,0,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,14,0.33,2.13,-4,65.9,0.425,10.5,38.07789,0.989,0.931,-3.06102,-3.751676672
0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,14,0.33,1.48,-2,47.7,0.3,10,41.99289,0.989,0.931,-2.26148,-2.185512292
1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,14,0.33,1.51,1.5,44.45,0.24,3,48.49289,0.989,0.931,-2.20432,-2.530191013
1,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,14,0.33,1.51,1.5,44.45,0.3,10,41.99289,0.989,0.931,-2.31864,-1.913514358
0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,14,0.33,1.545,3.5,46.7,0.395,7,41.32789,0.989,0.931,-2.48538,-2.398000387
0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,14,0.33,1.66,5,38.535,0.28,5.5,49.49289,0.989,0.931,-2.48538,-2.506975259
0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,14,0.33,1.505,1,45.7,0.435,9.5,42.32789,0.989,0.931,-2.48538,-1.946376738
0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,14,0.33,1.675,4.5,41.535,0.265,6,46.49289,0.989,0.931,-2.48538,-2.511158255
0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,14,0.33,1.52,0.5,48.7,0.42,10,39.32789,0.989,0.931,-2.48538,-2.332697885
0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,14,0.33,1.635,2,40.535,0.305,8.5,47.49289,0.989,0.931,-2.48538,-1.977876836
1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,14,0.33,1.55,4,45.45,0.265,6,46.49289,0.989,0.931,-2.49864,-2.686552944
1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,14,0.33,1.55,4,45.45,0.395,7,41.32789,0.989,0.931,-2.43472,-2.323115903
0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,14,0.33,1.505,1,45.7,0.31,9,46.24289,0.989,0.931,-2.49864,-1.913452077
0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,14,0.33,1.505,1,45.7,0.425,10.5,38.07789,0.989,0.931,-2.35604,-1.957593771
0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,14,0.33,1.52,0.5,48.7,0.425,10.5,38.07789,0.989,0.931,-2.43472,-2.259294322
0,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,14,0.33,1.505,1,45.7,0.3,10,41.99289,0.989,0.931,-2.3693,-1.973693605
0,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,14,0.33,1.52,0.5,48.7,0.3,10,41.99289,0.989,0.931,-2.44798,-2.199309743
0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,14,0.33,1.635,2,40.535,0.3,10,41.99289,0.989,0.931,-2.30538,-2.031760683
0,0,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,14,0.33,1.53,4,43.7,0.27,6.5,45.24289,0.989,0.931,-2.41996,-2.316252
0,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,14,0.33,1.56,3,49.7,0.27,6.5,45.24289,0.989,0.931,-2.57732,-2.840027
0,0,0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,14,0.33,1.79,6,33.37,0.27,6.5,45.24289,0.989,0.931,-2.29212,-2.309053
0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,14,0.33,1.48,-2,47.7,0.295,9.5,43.24289,0.989,0.931,-2.31214,-2.178812
0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,14,0.33,1.48,-2,47.7,0.31,9,46.24289,0.989,0.931,-2.39082,-2.179007832
0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,14,0.33,1.48,-2,47.7,0.425,10.5,38.07789,0.989,0.931,-2.24822,-2.22057647
