Cu1,Co1,Ni1,Zn1,Mg1,Sn1,Cu2,Co2,Ni2,Zn2,Mg2,Sn2,Cu3,Co3,Ni3,Zn3,Mg3,Sn3,electronegativity,valence,atomic volume,alpha value,electronegativity difference,valence electron difference,Offset,Adsorption energy
0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,2.55,4,5.3,0.2,0.626,4.2,-1.45132,-1.314991334
1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,2.55,4,5.3,0.2,0.614,2.8,-1.41928,-1.49000181
1,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,2.55,4,5.3,0.2,0.638,5.6,-1.48336,-1.327006841
0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2.55,4,5.3,0.2,0.69,5.2,-1.80878,-2.334683642
0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2.55,4,5.3,0.2,0.69,5.2,-1.80878,-2.2831466
0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,2.55,4,5.3,0.2,0.69,5.2,-1.80878,-2.220013242
0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2.55,4,5.3,0.2,0.69,5.2,-1.80878,-2.620415838
0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,2.55,4,5.3,0.2,0.69,5.2,-1.80878,-2.263426689
0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,2.55,4,5.3,0.2,0.69,5.2,-1.80878,-2.311240657
0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,2.55,4,5.3,0.2,0.59,0,-1.3552,-1.355236949
1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2.55,4,5.3,0.2,0.64,5,-1.92744,-2.628434244
1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2.55,4,5.3,0.2,0.692,5.4,-1.58696,-2.363943827
0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,2.55,4,5.3,0.2,0.64,5,-1.92744,-1.979542768
0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,2.55,4,5.3,0.2,0.686,5.6,-1.58652,-1.974234684
0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,2.55,4,5.3,0.2,0.692,5.4,-1.58696,-2.283988691
0,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,2.55,4,5.3,0.2,0.636,5.4,-1.70518,-1.997033074
0,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,2.55,4,5.3,0.2,0.642,5.2,-1.70562,-3.693598964
0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,2.55,4,5.3,0.2,0.688,5.8,-1.3647,-1.119595401
0,0,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2.55,4,5.3,0.2,0.634,5.2,-1.927,-1.906252
0,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2.55,4,5.3,0.2,0.646,4.8,-1.92788,-2.42029
0,0,0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2.55,4,5.3,0.2,0.738,6,-1.24604,-1.035093
0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,2.55,4,5.3,0.2,0.624,4,-1.67314,-1.321713
0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,2.55,4,5.3,0.2,0.63,3.8,-1.67358,-1.374402974
0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,2.55,4,5.3,0.2,0.676,4.4,-1.33266,-1.257990917
2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,3.44,6,14,0.66,1.54,5,0.0392,0.039213731
0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,3.44,6,14,0.66,1.53,4,-0.75112,-0.730838579
0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,3.44,6,14,0.66,1.56,3,-0.81208,-0.832485322
0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,3.44,6,14,0.66,1.79,6,-0.0008,-0.00084504
0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,3.44,6,14,0.66,2.13,-4,-1.3356,-1.335631078
0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,3.44,6,14,0.66,1.48,-2,-0.0204,-0.020428696
